Station_ID,longitude,latitude,label,MAE,ME,Pearson r,PSS
106,14.78480556,-17.44433333,SASSCALWN,1.7370029026584148,1.4835267901945692,0.5970310991472293,0.6664652765048755
115,17.76305556,-19.16861111,SASSCALWN,1.5196174575430856,1.1913476516973693,0.6594886513272785,0.7561707179903767
47066,15.853,-17.312,SASSCALWN,2.1735129539690052,2.026711926961484,0.3184745458075729,0.4770887222441101
31210,16.8144,-22.7876,SASSCALWN,1.883972328234339,-0.2771446124721925,0.5814936506889303,0.9265851795263561
68833099999,23.8666666,-33.8333333,NCEI,1.5197603406504452,1.1462616519444186,0.6369946783335961,0.7552767354596623
103,16.114667,-23.294528,SASSCALWN,4.2795848099766385,4.276699262490197,0.4183795533354357,0.1544235281090172
31203,19.2562,-18.3643,SASSCALWN,1.8469155404772917,1.6876673630332713,0.5975353787014928,0.5948062060452538
68264399999,28.224231,-25.653858,NCEI,1.0260853484098746,0.4037677417413001,0.579439030653775,0.7351499331508244
68333099999,23.45,-27.4333333,NCEI,2.132026584742867,1.982156262118257,0.6569980282935863,0.54468134693317
361098,18.28118,-30.395,SASSCALWN,1.753013439656313,1.4401040701463053,0.7716792659747733,0.7954519473635928
68840099999,25.7166666,-33.05,NCEI,1.5083416072218596,1.0663069452907137,0.736248652671821,0.76004793063274
68443099999,26.1833333,-29.1166666,NCEI,1.322847645263602,1.1050068608678425,0.6814776685176014,0.6924447612259442
68581099999,30.4,-29.6333333,NCEI,0.9868524592538748,0.7334827310379497,0.6577917618445883,0.5660214200718453
68926399999,20.250681,-34.554861,NCEI,1.1810469056812205,-0.5285559570530554,0.8430165833521749,0.8403263403263401
858576,18.44542,-31.47273,SASSCALWN,1.6011488038203217,1.3189570845304852,0.8053733922893336,0.8164861700888435
TA00520,35.38092,-23.328399,TAHMO,2.4816920132369247,2.469441093645346,0.8241886996624819,0.5430585770354226
68362099999,28.5,-27.2666666,NCEI,2.0625945721133534,1.8262886012828743,0.6089780756461938,0.652730409529081
102,17.041386,-22.009494,SASSCALWN,3.6912566880586755,3.678179362989047,0.19880778063882323,0.13760285558734714
68290599999,27.173358,-25.333822,NCEI,1.4288210970705453,1.0025199363944748,0.5003907766605977,0.7125190784077691
31205,17.3529,-20.3971,SASSCALWN,2.2348872018415604,2.1226040500221326,0.5500321733157219,0.47937889852181287
68624099999,21.5166666,-31.9166666,NCEI,1.8164498596498073,1.574837522438518,0.7882151061726783,0.7157861761597326
68835099999,24.8166666,-33.7666666,NCEI,1.2749100286236092,0.9566718159519138,0.6628020176150096,0.6817027451928891
68258099999,28.033,-24.233,NCEI,1.797231530334319,1.6575780028020781,0.3263168505016191,0.3035732164768335
68614099999,18.544789,-31.640961,NCEI,2.2566261981550864,2.135514746423557,0.7540326255589749,0.6357651267805907
68271099999,29.0,-24.2,NCEI,1.3447761311639912,1.1541159461770036,0.5272698984277152,0.5133506254151544
68355099999,27.3136111,-27.6663889,NCEI,1.4195739649244885,0.4507406546753807,0.652880325562055,0.8282847410145538
68935099999,23.0833333,-34.05,NCEI,1.9034408049569422,1.7926914826002882,0.6390586705629144,0.5742253182800865
68927099999,21.3833333,-34.3666666,NCEI,0.9784258268805813,-0.0002358773429040243,0.8044272690470639,0.8033516934255241
68541099999,25.3230556,-29.7536111,NCEI,2.0355395832068197,1.8018598075150798,0.649121840231997,0.6687257751937983
858596,17.29039,-28.83653,SASSCALWN,1.9066717594890348,1.4256001033823862,0.7663469293671785,0.7572047583714753
68575099999,30.0666666,-30.15,NCEI,2.009571631682431,1.8989177730585338,0.44652965911133463,0.39346670916606324
8893,15.040998,-23.560437,SASSCALWN,1.5986695310956993,0.6964872792709416,0.6370422663757601,0.8810925997675317
68267699999,27.828767,-22.05835,NCEI,2.5193515862231,2.3501007960120015,0.6582408091146605,0.6334279891428972
67585,23.96669,-19.018,SASSCALWN,1.127073020289359,0.4649853079749067,0.6222771968072942,0.8987311745465404
68471099999,29.3833333,-28.3666666,NCEI,1.7466185631766011,1.2817159735753179,0.6945654029468019,0.7620734480288586
68744099999,25.6166666,-32.1666666,NCEI,1.511083538032747,0.6991148195558139,0.7271813387754895,0.8467790612178789
68341099999,26.184575,-26.175672,NCEI,1.5460462066368557,1.2254455133323814,0.7390407553275979,0.7528257749458972
E7628,15.30503601,-23.115385,SASSCALWN,1.4909481361066617,0.12317710691411693,0.6697898157434148,0.9209574913422385
TA00242,27.854528,-26.248042,TAHMO,1.5050236522327745,1.3404863323198193,0.38531060136439454,0.5427230046948356
67581,21.07972,-23.71239,SASSCALWN,1.6231319052886832,1.27580841575,0.6685309587756257,0.7481938081556877
TA00244,28.121211,-25.990019,TAHMO,1.2478692420794617,0.6323039586380392,0.2847465978322441,0.7488381697199542
68589099999,29.5166666,-29.2666666,NCEI,1.9587579288926946,1.2994708912899393,0.4075456498444678,0.7752761096435546
68737099999,24.55,-32.2,NCEI,1.5404582954444093,0.8385551079147483,0.6709194659401712,0.7408028008246696
68487099999,30.6,-29.0833333,NCEI,1.246397494368176,0.8141665775450913,0.5821020496630205,0.732598958963806
68925099999,19.0227778,-34.1394444,NCEI,1.4433902412473798,1.204278947584248,0.7604801320493622,0.7437345821696577
68527099999,22.7333333,-29.6666666,NCEI,1.5327349151322283,1.0462817192055083,0.7063679808447892,0.813888820730175
68495099999,32.0833333,-28.7333333,NCEI,1.0616963422897319,0.39307485974527795,0.7861617496084191,0.838546679499519
